"Visitor arrivals by country of residence and travel mode (Monthly)","","","","","","","","",""
"","Australia","China, People's Republic of","Japan","Korea, Republic of","Germany","United Kingdom","Canada","United States of America","TOTAL ALL COUNTRIES OF RESIDENCE"
" ","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES"
"2003M07",52740,3240,9630,12024,2142,13428,1890,15282,145566
"2003M08",54043,3859,11951,7497,2006,12512,1377,10642,135150
"2003M09",65232,5504,10784,7360,2384,12176,1744,9728,148128
"2003M10",55195,6004,12122,8740,4807,17214,2774,16340,165604
"2003M11",57855,6935,18012,13243,7372,26505,4750,21508,211698
"2003M12",100276,9724,17710,11418,7634,42570,5478,25938,296912
"2004M01",67475,9225,14525,18575,7775,38950,6000,25325,243975
"2004M02",70077,6405,16800,10941,9513,43491,5733,23520,237783
"2004M03",74928,6321,17157,8274,5901,28518,4683,23142,211743
"2004M04",77931,6636,12537,7077,2520,19824,2541,14805,184548
"2004M05",50598,5724,11664,6696,1476,11520,1872,11376,132750
"2004M06",55776,4752,7952,6384,1184,11216,1488,15248,134272
"2004M07",71500,6400,11100,10220,2200,14540,2040,16140,171620
"2004M08",64548,5742,14300,7150,2222,12958,1716,12826,150238
"2004M09",78120,6400,11140,6860,2520,11680,1720,10820,159660
"2004M10",64785,6867,12201,9156,5313,19068,2919,17577,179256
"2004M11",61845,9471,20097,12075,7812,27510,4515,23016,218883
"2004M12",118350,10425,15550,10500,7300,44425,5375,24550,309425
"2005M01",74269,6786,16008,16704,8642,41905,5974,23780,246674
"2005M02",72490,10098,15444,11154,9394,44308,6292,25916,247390
"2005M03",85125,4925,15300,8700,6650,34600,5175,23950,232675
"2005M04",70056,6864,12288,7608,2448,17448,2712,14496,173280
"2005M05",53124,5130,10203,6935,1558,11818,1900,12445,134235
"2005M06",60648,4826,9538,6840,1330,25023,1425,15162,156161
"2005M07",66960,6552,10728,9696,2592,17520,2280,14592,166968
"2005M08",64260,6699,12558,7875,2163,13293,1848,11760,150003
"2005M09",83952,6094,9702,6402,2574,11528,1826,10274,162756
"2005M10",64078,6693,11845,9039,5152,19021,2737,15939,175605
"2005M11",63526,11408,16836,10327,7521,27301,4738,21643,214107
"2005M12",116250,11775,14475,10725,7525,43050,5275,24550,305675
"2006M01",75270,8788,15132,13052,8684,42432,6292,23478,248560
"2006M02",73832,8470,15114,9746,9548,47124,6908,29898,251174
"2006M03",78775,7475,14789,9177,6371,31050,5336,25645,223767
"2006M04",78826,9724,8976,8030,3036,21010,3058,17380,190498
"2006M05",55267,7990,7854,6307,1547,11050,1785,11101,134980
"2006M06",59778,5310,7488,7524,1422,9846,1656,16272,139266
"2006M07",66456,7440,10176,10008,2688,13584,2544,16560,166536
"2006M08",69594,7665,11004,7056,2394,12138,1953,11361,155232
